date,open,high,low,close,volume,hold,settle,contract
2025-08-18,8962.0,8962.0,8962.0,8962.0,1,1,8962.0,P2608
2025-08-19,9092.0,9100.0,9008.0,9008.0,8,5,9066.0,P2608
2025-08-20,9044.0,9044.0,8914.0,8914.0,6,8,8998.0,P2608
2025-08-21,8986.0,8986.0,8986.0,8986.0,1,8,8986.0,P2608
2025-08-22,8888.0,8948.0,8824.0,8914.0,5,11,8884.0,P2608
2025-08-25,8974.0,8974.0,8910.0,8952.0,6,12,8948.0,P2608
2025-08-26,8964.0,8966.0,8964.0,8966.0,3,13,8964.0,P2608
2025-08-27,8934.0,8988.0,8934.0,8958.0,6,12,8956.0,P2608
2025-08-28,8900.0,8900.0,8900.0,8900.0,2,14,8900.0,P2608
2025-08-29,8870.0,8878.0,8860.0,8860.0,9,20,8870.0,P2608
2025-09-01,8772.0,8850.0,8758.0,8850.0,13,24,8812.0,P2608
2025-09-02,8938.0,8974.0,8888.0,8914.0,16,32,8920.0,P2608
2025-09-03,8902.0,8948.0,8882.0,8882.0,20,42,8912.0,P2608
2025-09-04,8906.0,8950.0,8906.0,8946.0,8,42,8930.0,P2608
2025-09-05,8930.0,8958.0,8924.0,8958.0,14,44,8944.0,P2608
2025-09-08,8978.0,8978.0,8936.0,8940.0,6,45,8956.0,P2608
2025-09-09,8992.0,8992.0,8954.0,8954.0,3,43,8966.0,P2608
2025-09-10,8922.0,8922.0,8898.0,8898.0,6,45,8910.0,P2608
2025-09-11,8812.0,8840.0,8772.0,8840.0,17,50,8800.0,P2608
2025-09-12,8862.0,8884.0,8862.0,8884.0,7,48,8872.0,P2608
2025-09-15,8850.0,8920.0,8844.0,8920.0,30,54,8884.0,P2608
2025-09-16,8946.0,8988.0,8946.0,8988.0,13,48,8954.0,P2608
2025-09-17,9028.0,9040.0,8926.0,8926.0,8,53,8988.0,P2608
2025-09-18,8896.0,8896.0,8832.0,8838.0,11,51,8872.0,P2608
2025-09-19,8864.0,8864.0,8864.0,8864.0,1,51,8864.0,P2608
2025-09-22,8842.0,8842.0,8820.0,8820.0,3,52,8834.0,P2608
2025-09-23,8726.0,8726.0,8518.0,8580.0,24,55,8574.0,P2608
2025-09-24,8614.0,8624.0,8614.0,8624.0,2,54,8618.0,P2608
2025-09-25,8754.0,8778.0,8708.0,8772.0,17,60,8750.0,P2608
2025-09-26,8770.0,8794.0,8770.0,8794.0,14,58,8776.0,P2608
2025-09-29,8768.0,8782.0,8760.0,8768.0,8,59,8770.0,P2608
2025-09-30,8718.0,8718.0,8682.0,8682.0,5,56,8696.0,P2608
2025-10-09,8958.0,9018.0,8958.0,9006.0,16,57,8992.0,P2608
2025-10-10,9014.0,9060.0,8934.0,8980.0,27,60,9038.0,P2608
2025-10-13,8970.0,8980.0,8906.0,8922.0,11,55,8958.0,P2608
2025-10-14,8976.0,9012.0,8906.0,8906.0,11,56,8956.0,P2608
2025-10-15,8982.0,8994.0,8940.0,8978.0,5,58,8976.0,P2608
2025-10-16,9000.0,9024.0,8964.0,8980.0,14,56,9000.0,P2608
2025-10-17,9058.0,9058.0,9018.0,9026.0,22,56,9034.0,P2608
2025-10-20,9056.0,9092.0,9036.0,9036.0,6,56,9064.0,P2608
2025-10-21,9024.0,9116.0,9024.0,9044.0,14,60,9050.0,P2608
2025-10-22,9008.0,9032.0,8944.0,8944.0,38,66,8998.0,P2608
2025-10-23,8950.0,8950.0,8906.0,8918.0,12,66,8932.0,P2608
2025-10-24,8930.0,8930.0,8866.0,8918.0,21,58,8908.0,P2608
2025-10-27,8898.0,8898.0,8874.0,8874.0,8,58,8894.0,P2608
2025-10-28,8854.0,8854.0,8808.0,8808.0,4,57,8832.0,P2608
2025-10-29,8698.0,8750.0,8650.0,8672.0,60,70,8704.0,P2608
2025-10-30,8686.0,8706.0,8670.0,8670.0,6,69,8684.0,P2608
2025-10-31,8686.0,8694.0,8656.0,8664.0,24,74,8684.0,P2608
2025-11-03,8626.0,8640.0,8570.0,8618.0,22,86,8600.0,P2608
2025-11-04,8554.0,8654.0,8554.0,8622.0,20,83,8622.0,P2608
2025-11-05,8606.0,8650.0,8594.0,8614.0,23,82,8628.0,P2608
2025-11-06,8630.0,8700.0,8608.0,8700.0,31,74,8664.0,P2608
2025-11-07,8676.0,8686.0,8646.0,8646.0,6,74,8684.0,P2608
2025-11-10,8646.0,8722.0,8642.0,8698.0,13,74,8692.0,P2608
2025-11-11,8676.0,8764.0,8676.0,8736.0,30,70,8708.0,P2608
2025-11-12,8714.0,8714.0,8708.0,8708.0,3,69,8710.0,P2608
2025-11-13,8678.0,8706.0,8632.0,8704.0,22,74,8682.0,P2608
2025-11-14,8684.0,8684.0,8590.0,8652.0,14,70,8654.0,P2608
2025-11-17,8664.0,8702.0,8652.0,8670.0,13,70,8678.0,P2608
2025-11-18,8700.0,8716.0,8666.0,8700.0,13,71,8692.0,P2608
2025-11-19,8838.0,8842.0,8814.0,8814.0,11,66,8830.0,P2608
2025-11-20,8814.0,8814.0,8710.0,8710.0,4,70,8788.0,P2608
2025-11-21,8652.0,8652.0,8574.0,8574.0,10,71,8618.0,P2608
2025-11-24,8498.0,8544.0,8482.0,8490.0,30,72,8508.0,P2608
2025-11-25,8444.0,8452.0,8366.0,8366.0,24,74,8414.0,P2608
2025-11-26,8352.0,8404.0,8332.0,8404.0,29,74,8376.0,P2608
2025-11-27,8382.0,8456.0,8374.0,8456.0,10,77,8394.0,P2608
2025-11-28,8528.0,8544.0,8504.0,8542.0,17,71,8530.0,P2608
2025-12-01,8518.0,8542.0,8518.0,8542.0,4,69,8534.0,P2608
2025-12-02,8510.0,8592.0,8508.0,8592.0,9,70,8534.0,P2608
2025-12-03,8584.0,8646.0,8584.0,8616.0,14,73,8622.0,P2608
2025-12-04,8610.0,8610.0,8600.0,8600.0,2,73,8604.0,P2608
2025-12-05,8600.0,8600.0,8600.0,8600.0,2,73,8604.0,P2608
2025-12-08,8588.0,8588.0,8574.0,8574.0,11,74,8580.0,P2608
2025-12-09,8568.0,8568.0,8448.0,8448.0,9,81,8504.0,P2608
2025-12-10,8514.0,8556.0,8366.0,8408.0,30,76,8444.0,P2608
2025-12-11,8460.0,8564.0,8460.0,8564.0,10,73,8504.0,P2608
2025-12-12,8460.0,8460.0,8412.0,8416.0,9,73,8432.0,P2608
2025-12-15,8350.0,8422.0,8332.0,8392.0,27,76,8362.0,P2608
2025-12-16,8314.0,8314.0,8278.0,8302.0,6,81,8296.0,P2608
2025-12-17,8248.0,8276.0,8190.0,8276.0,69,90,8228.0,P2608
2025-12-18,8304.0,8350.0,8280.0,8280.0,11,87,8324.0,P2608
2025-12-19,8314.0,8314.0,8196.0,8196.0,17,95,8226.0,P2608
2025-12-22,8150.0,8316.0,8150.0,8310.0,23,85,8246.0,P2608
2025-12-23,8384.0,8390.0,8306.0,8390.0,40,66,8358.0,P2608
2025-12-24,8434.0,8434.0,8378.0,8406.0,12,65,8418.0,P2608
2025-12-25,8460.0,8462.0,8440.0,8454.0,17,62,8454.0,P2608
