date,open,high,low,close,volume,hold,settle,contract
2025-05-20,7700.0,7700.0,7650.0,7662.0,854,653,7680.0,Y2605
2025-05-21,7672.0,7680.0,7638.0,7660.0,536,1045,7658.0,Y2605
2025-05-22,7660.0,7660.0,7568.0,7586.0,659,1527,7592.0,Y2605
2025-05-23,7604.0,7632.0,7568.0,7570.0,503,1839,7594.0,Y2605
2025-05-26,7560.0,7570.0,7502.0,7530.0,985,2459,7534.0,Y2605
2025-05-27,7540.0,7554.0,7500.0,7510.0,1019,3049,7522.0,Y2605
2025-05-28,7536.0,7548.0,7492.0,7492.0,1206,3552,7520.0,Y2605
2025-05-29,7496.0,7506.0,7460.0,7478.0,1879,4483,7476.0,Y2605
2025-05-30,7460.0,7468.0,7398.0,7422.0,1264,5266,7428.0,Y2605
2025-06-03,7410.0,7440.0,7390.0,7428.0,579,5416,7418.0,Y2605
2025-06-04,7446.0,7446.0,7390.0,7402.0,1056,6058,7402.0,Y2605
2025-06-05,7410.0,7412.0,7388.0,7404.0,1757,7055,7396.0,Y2605
2025-06-06,7406.0,7438.0,7382.0,7438.0,1363,7227,7418.0,Y2605
2025-06-09,7440.0,7454.0,7428.0,7436.0,844,7432,7440.0,Y2605
2025-06-10,7438.0,7450.0,7420.0,7434.0,1224,7689,7432.0,Y2605
2025-06-11,7432.0,7440.0,7388.0,7390.0,1449,8129,7410.0,Y2605
2025-06-12,7406.0,7410.0,7386.0,7394.0,1054,8361,7400.0,Y2605
2025-06-13,7410.0,7476.0,7402.0,7444.0,1543,8339,7440.0,Y2605
2025-06-16,7464.0,7608.0,7448.0,7576.0,3760,8868,7562.0,Y2605
2025-06-17,7592.0,7636.0,7560.0,7614.0,2736,8746,7596.0,Y2605
2025-06-18,7606.0,7680.0,7606.0,7680.0,2112,9369,7646.0,Y2605
2025-06-19,7680.0,7752.0,7670.0,7736.0,2537,9759,7718.0,Y2605
2025-06-20,7762.0,7780.0,7718.0,7736.0,1640,9975,7744.0,Y2605
2025-06-23,7736.0,7786.0,7704.0,7730.0,1859,10088,7738.0,Y2605
2025-06-24,7720.0,7720.0,7602.0,7606.0,3190,10730,7648.0,Y2605
2025-06-25,7606.0,7632.0,7594.0,7626.0,2001,11573,7614.0,Y2605
2025-06-26,7606.0,7636.0,7558.0,7586.0,8582,16666,7594.0,Y2605
2025-06-27,7602.0,7612.0,7574.0,7610.0,4470,18597,7592.0,Y2605
2025-06-30,7598.0,7610.0,7578.0,7608.0,4281,18829,7598.0,Y2605
2025-07-01,7620.0,7626.0,7590.0,7616.0,2232,18843,7608.0,Y2605
2025-07-02,7610.0,7636.0,7536.0,7624.0,9020,22830,7586.0,Y2605
2025-07-03,7636.0,7674.0,7626.0,7634.0,5083,23577,7648.0,Y2605
2025-07-04,7654.0,7668.0,7622.0,7624.0,4244,23908,7640.0,Y2605
2025-07-07,7628.0,7634.0,7590.0,7604.0,4336,24626,7602.0,Y2605
2025-07-08,7604.0,7646.0,7582.0,7634.0,6589,26045,7612.0,Y2605
2025-07-09,7622.0,7626.0,7578.0,7604.0,6668,29072,7594.0,Y2605
2025-07-10,7600.0,7622.0,7572.0,7598.0,7400,31398,7592.0,Y2605
2025-07-11,7592.0,7646.0,7568.0,7626.0,8695,33561,7602.0,Y2605
2025-07-14,7620.0,7776.0,7614.0,7628.0,8390,33459,7652.0,Y2605
2025-07-15,7640.0,7660.0,7620.0,7628.0,7612,36346,7636.0,Y2605
2025-07-16,7638.0,7676.0,7626.0,7654.0,9018,37437,7648.0,Y2605
2025-07-17,7654.0,7686.0,7632.0,7668.0,8279,38575,7660.0,Y2605
2025-07-18,7676.0,7750.0,7676.0,7734.0,9099,38587,7716.0,Y2605
2025-07-21,7748.0,7752.0,7680.0,7688.0,9687,38099,7710.0,Y2605
2025-07-22,7680.0,7706.0,7650.0,7674.0,9667,39637,7674.0,Y2605
2025-07-23,7674.0,7708.0,7638.0,7688.0,9974,42160,7668.0,Y2605
2025-07-24,7688.0,7768.0,7676.0,7736.0,9867,43462,7716.0,Y2605
2025-07-25,7738.0,7780.0,7716.0,7738.0,12436,45088,7746.0,Y2605
2025-07-28,7736.0,7754.0,7684.0,7738.0,10045,46007,7720.0,Y2605
2025-07-29,7750.0,7842.0,7724.0,7822.0,15424,47199,7784.0,Y2605
2025-07-30,7832.0,7876.0,7804.0,7832.0,16880,52480,7838.0,Y2605
2025-07-31,7812.0,7848.0,7786.0,7808.0,11903,54636,7812.0,Y2605
2025-08-01,7802.0,7884.0,7790.0,7848.0,14167,57302,7834.0,Y2605
2025-08-04,7850.0,7884.0,7804.0,7848.0,16649,61572,7842.0,Y2605
2025-08-05,7832.0,7952.0,7822.0,7952.0,14226,65094,7904.0,Y2605
2025-08-06,7954.0,7980.0,7906.0,7964.0,29747,75488,7944.0,Y2605
2025-08-07,7974.0,8024.0,7920.0,7962.0,38191,89733,7970.0,Y2605
2025-08-08,7970.0,8008.0,7950.0,7968.0,30166,98761,7976.0,Y2605
2025-08-11,7974.0,8046.0,7920.0,8026.0,52792,104471,7986.0,Y2605
2025-08-12,8050.0,8078.0,8012.0,8058.0,43310,108997,8038.0,Y2605
