date,dce_palm_oil_open,dce_palm_oil_high,dce_palm_oil_low,dce_palm_oil_close,dce_palm_oil_volume
2024-07-18,7888.0,7946.0,7806.0,7916.0,684456
2024-07-19,7884.0,7896.0,7776.0,7850.0,719999
2024-07-22,7892.0,7992.0,7732.0,7958.0,921627
2024-07-23,7950.0,8038.0,7884.0,7896.0,708284
2024-07-24,7918.0,7976.0,7736.0,7746.0,964283
2024-07-25,7770.0,7794.0,7678.0,7744.0,718390
2024-07-26,7754.0,7908.0,7732.0,7880.0,676509
2024-07-29,7840.0,7922.0,7630.0,7882.0,1019139
2024-07-30,7828.0,7948.0,7744.0,7852.0,1035349
2024-07-31,7820.0,7908.0,7760.0,7782.0,952729
2024-08-01,7830.0,7876.0,7734.0,7764.0,839368
2024-08-02,7768.0,7998.0,7740.0,7968.0,1110593
2024-08-05,7932.0,7948.0,7770.0,7856.0,1074302
2024-08-06,7756.0,7844.0,7586.0,7600.0,1348163
2024-08-07,7552.0,7638.0,7534.0,7564.0,698623
2024-08-08,7620.0,7676.0,7584.0,7596.0,644856
2024-08-09,7608.0,7744.0,7600.0,7728.0,552621
2024-08-12,7748.0,7780.0,7656.0,7690.0,383101
2024-08-13,7552.0,7582.0,7396.0,7436.0,570195
2024-08-14,7444.0,7458.0,7324.0,7420.0,700367
2024-08-15,7454.0,7510.0,7432.0,7496.0,604328
2024-08-16,7470.0,7578.0,7468.0,7484.0,580875
2024-08-19,7450.0,7608.0,7444.0,7578.0,758617
2024-08-20,7560.0,7652.0,7534.0,7638.0,595022
2024-08-21,7628.0,7694.0,7616.0,7648.0,554607
2024-08-22,7674.0,7842.0,7648.0,7772.0,841803
2024-08-23,7800.0,7848.0,7740.0,7812.0,645882
2024-08-26,7860.0,8088.0,7822.0,8078.0,872738
2024-08-27,8050.0,8108.0,8014.0,8062.0,693715
2024-08-28,8048.0,8058.0,7952.0,8014.0,730724
2024-08-29,7976.0,8016.0,7922.0,7988.0,654621
2024-08-30,8002.0,8096.0,7990.0,8056.0,649879
2024-09-02,8080.0,8086.0,7866.0,7906.0,812780
2024-09-03,7920.0,8128.0,7876.0,7998.0,1124113
2024-09-04,7972.0,7992.0,7824.0,7874.0,931542
2024-09-05,7880.0,7894.0,7798.0,7862.0,670669
2024-09-06,7900.0,8000.0,7852.0,7886.0,752067
2024-09-09,7890.0,7902.0,7742.0,7898.0,843229
2024-09-10,7898.0,7926.0,7814.0,7840.0,628654
2024-09-11,7850.0,7884.0,7758.0,7880.0,646422
2024-09-12,7858.0,7888.0,7720.0,7828.0,801742
2024-09-13,7828.0,7972.0,7754.0,7766.0,905394
2024-09-18,7788.0,7964.0,7774.0,7952.0,588513
2024-09-19,7960.0,8180.0,7952.0,8166.0,928960
2024-09-20,8124.0,8200.0,8106.0,8180.0,654592
2024-09-23,8168.0,8296.0,8136.0,8228.0,745654
2024-09-24,8234.0,8312.0,8216.0,8258.0,644992
2024-09-25,8298.0,8482.0,8288.0,8390.0,782993
2024-09-26,8392.0,8584.0,8380.0,8530.0,901824
2024-09-27,8640.0,8672.0,8496.0,8616.0,846326
2024-09-30,8510.0,8660.0,8430.0,8568.0,704928
