date,dce_soybean_open,dce_soybean_high,dce_soybean_low,dce_soybean_close,dce_soybean_volume,dce_soybean2_open,dce_soybean2_high,dce_soybean2_low,dce_soybean2_close,dce_soybean2_volume,dce_soybean_meal_open,dce_soybean_meal_high,dce_soybean_meal_low,dce_soybean_meal_close,dce_soybean_meal_volume,dce_soybean_oil_open,dce_soybean_oil_high,dce_soybean_oil_low,dce_soybean_oil_close,dce_soybean_oil_volume,dce_palm_oil_open,dce_palm_oil_high,dce_palm_oil_low,dce_palm_oil_close,dce_palm_oil_volume,cbot_soybean_open,cbot_soybean_high,cbot_soybean_low,cbot_soybean_close,cbot_soybean_volume,cbot_soybean_meal_open,cbot_soybean_meal_high,cbot_soybean_meal_low,cbot_soybean_meal_close,cbot_soybean_meal_volume,cbot_soybean_oil_open,cbot_soybean_oil_high,cbot_soybean_oil_low,cbot_soybean_oil_close,cbot_soybean_oil_volume,cbot_corn_open,cbot_corn_high,cbot_corn_low,cbot_corn_close,cbot_corn_volume,cbot_wheat_open,cbot_wheat_high,cbot_wheat_low,cbot_wheat_close,cbot_wheat_volume,usd_cny,hlj_precip_mm,hlj_t2m_c,jilin_precip_mm,jilin_t2m_c,inner_mongolia_precip_mm,inner_mongolia_t2m_c,iowa_precip_mm,iowa_t2m_c,illinois_precip_mm,illinois_t2m_c,mato_grosso_precip_mm,mato_grosso_t2m_c,month,global_soybean_price_usd_t,global_soybean_meal_price_usd_t,global_soybean_oil_price_usd_t,global_palm_oil_price_usd_t,global_corn_price_usd_t,global_wheat_price_usd_t,global_soybean_price_cny_t,global_soybean_meal_price_cny_t,global_soybean_oil_price_cny_t,global_palm_oil_price_cny_t,global_corn_price_cny_t,global_wheat_price_cny_t,dce_soybean_ret_1d,dce_soybean2_ret_1d,dce_soybean_meal_ret_1d,dce_soybean_oil_ret_1d,dce_palm_oil_ret_1d,cbot_soybean_ret_1d,cbot_soybean_meal_ret_1d,cbot_soybean_oil_ret_1d,cbot_corn_ret_1d,cbot_wheat_ret_1d,soybean_meal_soybean_spread_close,soybean_oil_soybean_spread_close,soybean2_soybean_spread_close,palm_soybean_oil_spread_close,global_soybean_basis_cny_t,global_soybean_basis_rate,is_soybean_harvest_season_ne_cn,is_soybean_planting_season_ne_cn,is_us_soybean_harvest_season,is_brazil_soybean_harvest_season,ne_avg_precip_mm,ne_avg_t2m_c,us_midwest_avg_precip_mm,us_midwest_avg_t2m_c
2016-06-01,3740.0,3808.0,3668.0,3713.0,663104.0,3690.0,3690.0,3690.0,3690.0,2.0,2938.0,2954.0,2866.0,2898.0,6059624.0,5920.0,5956.0,5886.0,5914.0,510404.0,5246.0,5292.0,5224.0,5246.0,734992.0,1078.75,1102.5,1068.0,1099.75,158403.0,397.0,400.29998779296875,391.0,399.1000061035156,54828.0,31.780000686645508,32.459999084472656,31.5,32.189998626708984,72932.0,404.25,414.0,401.0,413.75,213032.0,464.5,474.75,463.0,473.75,66398.0,6.565100193023682,0.0,18.7,0.0,18.5,0.0,21.9,7.9,19.0,8.5,22.3,0.0,27.6,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2418.714213113785,2221.301650309563,5026.897217798233,3987.5105552387236,1076.3352827894535,1260.3810743366062,,,,,,,,,,,-815.0,2201.0,-23.0,-668.0,-1294.2857868862152,-0.3485822210843564,0,0,0,0,0.0,19.7,8.2,20.65
2016-06-02,3720.0,3806.0,3691.0,3766.0,448598.0,3780.0,3780.0,3780.0,3780.0,0.0,2899.0,3003.0,2879.0,2977.0,6443822.0,5896.0,6024.0,5866.0,6016.0,602582.0,5210.0,5334.0,5170.0,5312.0,871652.0,1101.25,1146.0,1100.75,1144.25,233772.0,400.3999938964844,419.0,399.5,418.29998779296875,80654.0,32.13999938964844,32.630001068115234,32.13999938964844,32.2599983215332,62962.0,413.75,419.5,412.5,415.25,223629.0,473.5,487.0,472.75,485.5,92411.0,6.57450008392334,0.0,19.8,0.0,20.5,0.0,24.7,0.0,18.4,0.9,21.7,0.0,27.5,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2422.177320919037,2224.482103395462,5034.094714260102,3993.219860973358,1077.8763764410667,1262.1856842043044,0.014274171828710047,0.024390243902439046,0.027260179434092535,0.01724721001014551,0.012581014105985444,0.04046374175949086,0.04810819693265844,0.0021745789938039106,0.003625377643504457,0.024802110817941925,-789.0,2250.0,14.0,-704.0,-1343.822679080963,-0.3568302387363152,0,0,0,0,0.0,21.666666666666668,0.45,20.049999999999997
2016-06-03,3773.0,3837.0,3762.0,3833.0,439744.0,3780.0,3780.0,3780.0,3780.0,4.0,2985.0,3058.0,2971.0,3054.0,6229430.0,6030.0,6118.0,6022.0,6118.0,663800.0,5330.0,5380.0,5312.0,5366.0,758114.0,1142.0,1169.0,1127.25,1132.0,188388.0,417.29998779296875,432.5,411.5,414.29998779296875,75282.0,32.25,32.66999816894531,32.119998931884766,32.2599983215332,63416.0,414.0,419.25,410.5,418.25,183279.0,484.25,498.25,482.25,497.25,113652.0,6.57450008392334,0.8,21.1,0.0,22.4,0.0,26.1,0.0,21.0,0.0,21.0,0.0,27.6,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2422.177320919037,2224.482103395462,5034.094714260102,3993.219860973358,1077.8763764410667,1262.1856842043044,0.017790759426447256,0.0,0.025864964729593654,0.016954787234042534,0.01016566265060237,-0.010705702425169328,-0.009562515220487455,0.0,0.007224563515954241,0.024201853759011405,-779.0,2285.0,-53.0,-752.0,-1410.822679080963,-0.36807270521287844,0,0,0,0,0.26666666666666666,23.2,0.0,21.0
2016-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57450008392334,0.0,17.7,0.0,21.6,0.0,25.0,12.8,21.7,8.0,21.6,0.1,26.9,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2422.177320919037,2224.482103395462,5034.094714260102,3993.219860973358,1077.8763764410667,1262.1856842043044,,,,,,,,,,,,,,,,,0,0,0,0,0.0,21.433333333333334,10.4,21.65
2016-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.554800033569336,0.0,22.5,0.0,22.9,0.0,26.8,0.8,19.3,1.7,20.0,0.0,27.3,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2414.9194283676147,2217.816591358185,5019.010385704041,3981.254444389343,1074.6465918764268,1258.4036291099967,,,,,,,,,,,,,,,,,0,0,0,0,0.0,24.066666666666666,1.25,19.65
2016-06-06,3855.0,3865.0,3783.0,3830.0,344744.0,3929.0,3931.0,3929.0,3931.0,6.0,3074.0,3100.0,3025.0,3098.0,5900880.0,6140.0,6184.0,6070.0,6174.0,495524.0,5388.0,5410.0,5318.0,5394.0,575278.0,1143.25,1162.0,1136.0,1138.25,131250.0,417.0,425.8999938964844,410.5,411.70001220703125,56632.0,32.40999984741211,32.650001525878906,32.34000015258789,32.5099983215332,37329.0,419.75,427.5,419.25,427.25,223124.0,496.0,514.75,496.0,507.5,116771.0,6.553800106048584,2.3,19.7,2.2,22.2,0.9,22.1,0.0,21.2,0.0,21.2,0.0,27.4,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2414.5510350704194,2217.4782658815384,5018.244741201401,3980.647108411789,1074.482655723257,1258.211661023325,,,,,,,,,,,-732.0,2344.0,101.0,-780.0,-1415.4489649295806,-0.369568920347149,0,0,0,0,1.8,21.333333333333332,0.0,21.2
2016-06-07,3839.0,3849.0,3798.0,3831.0,322764.0,,,,,,3104.0,3134.0,3086.0,3130.0,6353176.0,6196.0,6240.0,6106.0,6232.0,656206.0,5398.0,5494.0,5356.0,5490.0,875390.0,1136.75,1148.75,1129.0,1141.25,159669.0,412.0,415.5,402.6000061035156,407.79998779296875,80569.0,32.540000915527344,32.779998779296875,31.850000381469727,32.290000915527344,69094.0,426.25,428.0,422.5,427.75,273076.0,507.0,513.5,500.75,509.0,113852.0,6.561500072479248,0.6,18.3,2.1,18.0,0.0,20.5,0.0,17.9,0.0,21.3,0.0,27.3,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2417.3878567028046,2220.0835495233537,5024.14060549736,3985.3239140224455,1075.7450500968305,1259.6899159892657,0.00026109660574413773,,0.010329244673983107,0.009394233884029823,0.017797552836484876,0.0026356248627279477,-0.009472976192435256,-0.006767069128396197,0.001170275014628519,0.002955665024630516,-701.0,2401.0,,-742.0,-1413.6121432971954,-0.3689929896364384,0,0,0,0,0.9,18.933333333333334,0.0,19.6
2016-06-08,3821.0,3840.0,3770.0,3826.0,343748.0,3656.0,3838.0,3656.0,3825.0,8.0,3120.0,3176.0,3101.0,3173.0,5348828.0,6196.0,6224.0,6138.0,6168.0,531432.0,5430.0,5444.0,5346.0,5394.0,796322.0,1140.25,1189.25,1138.0,1177.75,194856.0,408.1000061035156,424.0,407.1000061035156,417.1000061035156,70023.0,32.34000015258789,33.189998626708984,32.189998626708984,32.88999938964844,85373.0,427.25,439.25,426.5,431.25,342762.0,507.25,524.0,506.0,519.5,138771.0,6.552499771118164,1.2,19.0,0.0,20.2,0.0,22.8,0.0,17.4,0.0,17.8,0.2,26.3,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2414.071965675354,2217.038297557831,5017.249074745178,3979.8573109817503,1074.2694683652726,1257.9620201209145,-0.0013051422605063756,,0.013738019169329041,-0.010269576379974277,-0.01748633879781425,0.03198247535596943,0.022805342297529174,0.018581556429519086,0.008182349503214503,0.02062868369351678,-653.0,2342.0,-1.0,-774.0,-1411.928034324646,-0.36903503249468006,0,0,0,0,0.39999999999999997,20.666666666666668,0.0,17.6
2016-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,1177.0,1185.0,1166.25,1176.0,146291.0,417.6000061035156,421.0,410.29998779296875,413.5,69303.0,32.84000015258789,33.22999954223633,32.630001068115234,33.029998779296875,58053.0,430.25,430.25,423.25,426.5,262525.0,518.75,519.0,506.0,510.25,105867.0,6.552000045776367,1.2,18.5,1.0,20.1,1.7,22.6,0.0,22.6,0.0,20.0,1.6,24.1,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2413.8878568649293,2216.869215488434,5016.866435050964,3979.55378780365,1074.1875393769456,1257.8660818496546,,,,,,-0.0014858841010401136,-0.008631038242234323,0.004256594473896591,-0.011014492753623206,-0.01780558229066409,,,,,,,0,0,0,0,1.3,20.400000000000002,0.0,21.3
2016-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,1174.5,1208.5,1168.75,1178.25,204412.0,413.5,423.79998779296875,409.20001220703125,414.0,76576.0,33.029998779296875,33.33000183105469,32.7400016784668,32.7599983215332,67737.0,426.5,437.0,420.0,423.0,291065.0,510.25,512.5,494.25,495.0,127494.0,6.552000045776367,33.2,17.8,6.4,21.5,10.1,22.6,0.0,27.1,0.0,25.0,0.0,25.5,2016-06,368.42,338.35,765.7,607.38,163.948036,191.982001383,2413.8878568649293,2216.869215488434,5016.866435050964,3979.55378780365,1074.1875393769456,1257.8660818496546,,,,,,0.001913265306122458,0.0012091898428052694,-0.00817440108211287,-0.008206330597889777,-0.02988731014208723,,,,,,,0,0,0,0,16.566666666666666,20.633333333333333,0.0,26.05
